company_name,high,low,last_price,prev_close,change,percent_gain
Hindustan Aeron,"2,092.00","2,045.00","2,070.00","2,058.90",11.1,0.54
Hindustan Aeron,"2,092.00","2,045.00","2,070.00","2,058.90",11.1,0.54
Petronet LNG,196.65,195.00,195.75,194.70,1.05,0.54
Chalet Hotels,593.95,582.00,587.35,584.30,3.05,0.52
ITC,439.20,438.00,438.80,436.55,2.25,0.52
Kotak Mahindra,"1,755.00","1,747.00","1,754.45","1,745.45",9,0.52
Pfizer,"3,922.00","3,897.55","3,910.00","3,889.70",20.3,0.52
Torrent Pharma,"2,076.75","2,060.05","2,068.80","2,058.20",10.6,0.52
KEC Intl,583.70,578.00,579.70,576.75,2.95,0.51
L&T Technology,"4,319.90","4,282.30","4,296.85","4,275.05",21.8,0.51
LIC Housing Fin,456.00,453.10,454.20,451.95,2.25,0.5
Apollo Tyres,423.20,417.20,420.75,418.70,2.05,0.49
Maruti Suzuki,"10,495.00","10,415.15","10,439.55","10,388.80",50.75,0.49
Siemens,"3,429.90","3,410.00","3,424.00","3,407.35",16.65,0.49
Shoppers Stop,664.70,657.25,659.35,656.15,3.2,0.49
Varun Beverages,"1,023.00","1,011.25","1,013.95","1,009.05",4.9,0.49
Varun Beverages,"1,023.00","1,011.25","1,013.95","1,009.05",4.9,0.49
APL Apollo,"1,671.05","1,656.00","1,662.50","1,654.55",7.95,0.48
NHPC,52.15,51.70,51.85,51.60,0.25,0.48
P and G,"18,162.90","17,850.10","17,896.95","17,810.70",86.25,0.48
Cummins,"1,776.70","1,768.45","1,776.70","1,768.45",8.25,0.47
TV18 Broadcast,43.25,42.95,43.05,42.85,0.2,0.47
HDFC AMC,"2,797.00","2,780.00","2,782.95","2,769.85",13.1,0.47
Pidilite Ind,"2,454.00","2,438.25","2,443.80","2,432.35",11.45,0.47
Poly Medicure,"1,453.15","1,434.95","1,446.90","1,440.20",6.7,0.47
Timken,"2,995.00","2,940.85","2,965.00","2,951.00",14,0.47
JK Paper,383.00,378.00,379.10,377.40,1.7,0.45
Havells India,"1,267.95","1,256.40","1,263.00","1,257.40",5.6,0.45
Syngene Intl,722.30,713.50,719.80,716.55,3.25,0.45
Tata Motors,657.95,653.15,654.00,651.05,2.95,0.45
Tata Motors,657.95,653.15,654.00,651.05,2.95,0.45
Indian Hotels,413.50,410.10,411.25,409.45,1.8,0.44
Prestige Estate,880.00,871.15,876.95,873.15,3.8,0.44
TATA Cons. Prod,922.00,916.05,916.70,912.70,4,0.44
Vaibhav Global,427.90,423.00,423.95,422.10,1.85,0.44
Carborundum,"1,078.50","1,060.30","1,077.00","1,072.35",4.65,0.43
Dabur India,537.05,534.60,535.65,533.35,2.3,0.43
Oberoi Realty,"1,269.20","1,257.90","1,262.00","1,256.65",5.35,0.43
Phoenix Mills,"2,067.90","2,036.20","2,039.00","2,030.25",8.75,0.43
Angel One,"2,750.00","2,725.00","2,731.85","2,720.35",11.5,0.42
Dr Reddys Labs,"5,457.70","5,435.00","5,447.75","5,424.90",22.85,0.42
JB Chemicals,"1,521.00","1,503.00","1,508.70","1,502.45",6.25,0.42
JB Chemicals,"1,521.00","1,503.00","1,508.70","1,502.45",6.25,0.42
JSW Steel,761.00,753.00,757.95,754.75,3.2,0.42
Marico,524.90,521.25,523.45,521.25,2.2,0.42
KRBL,359.85,355.50,356.75,355.30,1.45,0.41
KPR Mill,779.30,769.95,774.45,771.30,3.15,0.41
One 97 Paytm,905.00,895.05,897.80,894.15,3.65,0.41
SBI,584.75,580.50,581.90,579.50,2.4,0.41
SUMITOMO,388.00,382.45,383.85,382.30,1.55,0.41
Adani Power,404.25,400.00,401.00,399.40,1.6,0.4
Balkrishna Ind,"2,592.15","2,557.00","2,576.75","2,566.55",10.2,0.4
ICICI Bank,943.20,939.60,942.35,938.60,3.75,0.4
Abbott India,"23,881.35","23,725.00","23,800.00","23,705.65",94.35,0.4
Bosch,"19,830.00","19,572.55","19,650.55","19,572.45",78.1,0.4
Power Grid Corp,213.70,211.70,212.00,211.15,0.85,0.4
Tech Mahindra,"1,147.15","1,142.00","1,142.55","1,138.15",4.4,0.39
Godrej Consumer,996.90,987.30,988.05,984.30,3.75,0.38
Hero Motocorp,"3,140.00","3,115.40","3,116.95","3,105.20",11.75,0.38
IOB,39.60,39.40,39.50,39.35,0.15,0.38
Cipla,"1,248.90","1,243.00","1,244.75","1,240.10",4.65,0.37
HCL Tech,"1,265.45","1,256.35","1,260.05","1,255.45",4.6,0.37
ICICI Prudentia,536.70,531.10,532.05,530.10,1.95,0.37
Indiabulls Real,80.95,80.00,80.80,80.50,0.3,0.37
Atul,"6,683.60","6,653.05","6,675.00","6,651.30",23.7,0.36
Hinduja Global,949.40,935.00,938.00,934.60,3.4,0.36
Bank of Mah,43.55,43.20,43.30,43.15,0.15,0.35
M&M Financial,273.60,272.10,272.50,271.55,0.95,0.35
Persistent,"6,330.00","6,258.55","6,267.80","6,246.15",21.65,0.35
AB Capital,176.75,173.95,175.65,175.05,0.6,0.34
